epoch,train_loss,val_loss,train_acc,val_acc
0,0.6962996391296387,0.6850482225418091,0.5086,0.5625
1,0.6940404731750488,0.6911259740591049,0.51895,0.52734375
2,0.6916540208816528,0.6879837661981583,0.52415,0.56640625
3,0.6910153967857361,0.6862736195325851,0.52905,0.55078125
4,0.6897503188133239,0.6861130446195602,0.5376,0.55078125
5,0.688075914478302,0.6897519677877426,0.5454,0.57421875
6,0.6875502183914185,0.6888093501329422,0.54685,0.5703125
7,0.6867006068229675,0.6954289078712463,0.5487,0.53125
8,0.6846648791313171,0.6929458826780319,0.5534,0.55859375
9,0.6850011944770813,0.6911924481391907,0.55235,0.56640625
10,0.6825650991439819,0.6906994134187698,0.5602,0.5625
11,0.6832411184310913,0.6894736140966415,0.5554,0.55078125
12,0.6832001521110534,0.691494956612587,0.55625,0.5859375
13,0.6816366832733154,0.6955750286579132,0.56005,0.5546875
14,0.6812263089179993,0.6925466507673264,0.56435,0.55859375
15,0.6796987719535827,0.6905339062213898,0.56245,0.5703125
16,0.6795813244819641,0.6895752251148224,0.56735,0.56640625
17,0.6791449405670166,0.6954057514667511,0.5667,0.5625
18,0.678044275188446,0.6904590874910355,0.5705,0.57421875
19,0.6775187997817993,0.6887144148349762,0.56865,0.55859375
20,0.6762093949317932,0.6917514503002167,0.5721,0.56640625
21,0.6772434821128845,0.6922030448913574,0.56945,0.5546875
22,0.6734256341934204,0.6889635473489761,0.5805,0.58203125
23,0.6718019503593445,0.688147559762001,0.5808,0.58203125
24,0.6693962578773498,0.6873201429843903,0.585,0.55078125
25,0.6666834544181823,0.6876923888921738,0.58945,0.5546875
26,0.6618650316238404,0.6686874479055405,0.59665,0.60546875
27,0.6574458307266235,0.6601473540067673,0.60185,0.59765625
28,0.653045873260498,0.6424629539251328,0.6094,0.62890625
29,0.6430256172180175,0.640695184469223,0.6223,0.62890625
30,0.6310972109794617,0.6307055354118347,0.6407,0.66015625
31,0.6192063298225403,0.6044967770576477,0.6547,0.6953125
32,0.6079073210716247,0.605677917599678,0.6683,0.67578125
33,0.5998983503341675,0.6050611734390259,0.67405,0.6484375
34,0.5861542582511902,0.5830205082893372,0.689,0.69140625
35,0.577695757484436,0.5600208342075348,0.6997,0.71875
36,0.571888714504242,0.5784807354211807,0.70265,0.67578125
37,0.5644593982219696,0.5545964241027832,0.70845,0.7109375
38,0.5555654739379883,0.5731118470430374,0.71615,0.7109375
39,0.5526136984348297,0.5527340322732925,0.71735,0.69140625
40,0.542563427734375,0.5362007096409798,0.7249,0.71484375
41,0.5392085345268249,0.5315324813127518,0.72665,0.76953125
42,0.5397691225051879,0.530848354101181,0.72545,0.7421875
